event_id,ts,proba,old_status,new_status,resolution_source,logged_at
44,2025-11-23T08:07:13,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
55,2025-11-23T08:07:17,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
206,2025-11-23T08:08:14,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
239,2025-11-23T08:08:26,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
246,2025-11-23T08:08:29,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
268,2025-11-23T08:08:35,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
287,2025-11-23T08:08:42,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
290,2025-11-23T08:08:43,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
292,2025-11-23T08:08:43,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
293,2025-11-23T08:08:44,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
295,2025-11-23T08:08:44,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
297,2025-11-23T08:08:45,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
298,2025-11-23T08:08:45,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
303,2025-11-23T08:08:47,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
305,2025-11-23T08:08:48,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
308,2025-11-23T08:08:49,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
310,2025-11-23T08:08:49,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
314,2025-11-23T08:08:51,0.9975,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
321,2025-11-23T08:08:53,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:19
324,2025-11-23T08:08:54,0.9975,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
329,2025-11-23T08:08:56,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
334,2025-11-23T08:08:57,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
335,2025-11-23T08:08:58,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
340,2025-11-23T08:09:00,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
342,2025-11-23T08:09:00,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
347,2025-11-23T08:09:02,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
351,2025-11-23T08:09:04,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
353,2025-11-23T08:09:04,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
355,2025-11-23T08:09:05,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
356,2025-11-23T08:09:05,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
357,2025-11-23T08:09:05,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
358,2025-11-23T08:09:07,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
359,2025-11-23T08:09:07,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
370,2025-11-23T08:09:11,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
371,2025-11-23T08:09:11,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
375,2025-11-23T08:09:12,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
376,2025-11-23T08:09:12,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
377,2025-11-23T08:09:13,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
381,2025-11-23T08:09:14,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
383,2025-11-23T08:09:15,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
386,2025-11-23T08:09:16,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
388,2025-11-23T08:09:17,0.9975,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
389,2025-11-23T08:09:17,1.0,PENDING,CONFIRMED_FRAUD,AUTO_DEMO,2025-11-23T08:13:20
